"CODE_SET","CDF_MEANING","CKI"
"1","AA","CKI.CODEVALUE!23746"
"1","EM","CKI.CODEVALUE!23744"
"2","CLNC_REFRL","CKI.CODEVALUE!23750"
"2","CRTLAW_ENFRC","CKI.CODEVALUE!21580"
"2","EXTRMRL_BRTH","CKI.CODEVALUE!23752"
"2","HMO_REFRL","CKI.CODEVALUE!23753"
"2","HOSP_TRNSFR","CKI.CODEVALUE!21579"
"2","NRML_DLVRY","CKI.CODEVALUE!23754"
"2","O_FAC_TRNSFR","CKI.CODEVALUE!23760"
"2","PHYS_REFRL","CKI.CODEVALUE!23756"
"2","PRMT_DLVRY","CKI.CODEVALUE!23757"
"2","SICK_BABY","CKI.CODEVALUE!23759"
"2","UNAVAIL","CKI.CODEVALUE!23755"
"3","EMERGENCY","CKI.CODEVALUE!15325"
"3","UNAVAIL","CKI.CODEVALUE!2921039"
"3","URGENT","CKI.CODEVALUE!23772"
"4","ACCOUNT","CKI.CODEVALUE!2797127"
"4","BIOMETRICID","CKI.CODEVALUE!4200806244"
"4","DNRN","CKI.CODEVALUE!11413"
"4","DONORID","CKI.CODEVALUE!9918"
"4","DRLIC","CKI.CODEVALUE!2622"
"4","FEDPRINCIPAL","CKI.CODEVALUE!4201594618"
"4","FILLER ORDER","CKI.CODEVALUE!11410"
"4","FOREIGNID","CKI.CODEVALUE!4201478967"
"4","HICR","CKI.CODEVALUE!3250826"
"4","HISTCMRN","CKI.CODEVALUE!15183"
"4","HISTMRN","CKI.CODEVALUE!15182"
"4","HNAPERSONID","CKI.CODEVALUE!16870"
"4","HNASYSID","CKI.CODEVALUE!11409"
"4","INSC","CKI.CODEVALUE!4200097001"
"4","INTLD","CKI.CODEVALUE!3250825"
"4","INTPERSID","CKI.CODEVALUE!14986"
"4","MEMBERNBR","CKI.CODEVALUE!2160587783"
"4","MESSAGING","CKI.CODEVALUE!2989941"
"4","MILITARYID","CKI.CODEVALUE!9584"
"4","MILITARYPIN","CKI.CODEVALUE!4201478968"
"4","MPI","CKI.CODEVALUE!4200149542"
"4","MRN","CKI.CODEVALUE!2623"
"4","NHIN","CKI.CODEVALUE!9585"
"4","NMDP","CKI.CODEVALUE!12378"
"4","NMDPD","CKI.CODEVALUE!3250822"
"4","NMDPR","CKI.CODEVALUE!3250827"
"4","NTKCRDNBR","CKI.CODEVALUE!4200092536"
"4","OPOD","CKI.CODEVALUE!3250824"
"4","OPOR","CKI.CODEVALUE!3250828"
"4","OTHER","CKI.CODEVALUE!7980"
"4","PASSPORT","CKI.CODEVALUE!9586"
"4","PASSWORD","CKI.CODEVALUE!3862198"
